PLATEIFU,RA,DEC,REDSHIFT,LOG_MASS,FUV_MAG,NUV_MAG,U_MAG,G_MAG,R_MAG,I_MAG,Z_MAG
9181-6104,120.895891577,38.1323246785,0.0233687,9.043999,19.442358,19.038095,17.983292,17.002623,16.532942,16.231058,16.122843
9038-3701,236.874631841,42.0297193283,0.0240642,9.045385,18.20693,17.869669,17.123816,16.122236,15.801894,15.606764,15.457315
9871-3701,227.360498507,42.5954051455,0.0174688,9.045983,18.430183,18.051773,17.243881,16.223068,15.815343,15.580473,15.4269495
8940-6101,121.86519837,25.1136095522,0.0201512,9.046456,20.29731,19.806145,18.530838,17.317823,16.623459,16.278004,16.032854
8993-12703,165.257580093,46.5654674741,0.0221723,9.046632,18.46386,18.292316,17.60653,16.62602,16.34426,15.855852,15.483328
8934-3701,194.02549,27.67798,0.0164833,9.046936,17.226906,16.881165,16.27392,15.403021,15.049897,14.936766,14.769647
8145-12703,117.065788414,28.7153972947,0.0228708,9.047812,19.063143,18.089128,17.815395,16.867231,16.361279,16.107122,15.917678
8082-9101,48.6427236336,0.532374876049,0.0209924,9.048049,19.880606,19.657516,18.534744,17.104599,16.540695,16.21864,16.038301
8932-6102,195.449915936,27.3547939113,0.0201996,9.049299,21.448448,22.286158,18.55176,17.495611,16.781912,16.413769,16.312101
8606-1902,256.01730405,36.4373676031,0.0236332,9.05067,20.18996,19.839792,18.486324,17.276562,16.75367,16.39396,16.20575
8149-6104,120.97037173,26.6146824164,0.0204161,9.050747,18.646791,18.708738,17.810326,16.87679,16.38195,16.101517,15.969996
9195-3701,27.4754569786,13.1266326534,0.0170328,9.051905,Infinity,23.234484,20.543617,17.353043,16.556238,16.153194,15.9827175
8726-12705,117.328574454,21.8037654578,0.0245887,9.056508,21.067566,20.720388,18.468124,17.707512,16.967428,16.610136,16.220358
8461-12704,146.35805196,42.8061666838,0.0168341,9.056977,19.181627,18.609425,17.555038,16.361034,15.891089,15.603176,15.437989
8548-1902,243.339963034,48.1550240077,0.0200673,9.058202,18.266834,17.937447,17.221474,16.262934,15.8970585,15.689406,15.547393
9512-6103,139.925621433,1.32580919267,0.0164953,9.058566,20.471247,20.178978,18.16754,17.03146,16.323484,15.981121,15.725617
9869-12705,247.714769446,39.9896624805,0.0253577,9.05976,19.475422,19.283207,18.281353,16.845024,16.371548,16.06809,15.837133
8606-12702,255.869931612,36.4366645326,0.0231691,9.059825,20.098017,,18.599981,16.988995,16.545534,16.06076,16.018497
8939-1902,126.398536014,23.9591923311,0.0222054,9.060271,20.733126,19.894547,18.631699,17.41928,16.74557,16.413301,16.129982
9876-6104,195.1828,28.41632,0.0210246,9.062743,20.846893,21.403082,19.334232,17.425638,16.898802,16.353628,16.235155
8153-12705,41.4483281377,-0.240915330231,0.0233138,9.063435,18.786222,18.472094,17.647497,16.42614,16.002226,15.751881,15.469565
8440-1901,136.114189404,41.4862065591,0.0244647,9.066948,19.899652,19.707726,18.384245,16.918362,16.430384,16.168665,15.9527445
