PLATEIFU,RA,DEC,REDSHIFT,LOG_MASS,FUV_MAG,NUV_MAG,U_MAG,G_MAG,R_MAG,I_MAG,Z_MAG
8257-12702,166.403246668,46.173601726,0.0251643,9.420459,17.999355,17.496824,16.841276,15.829751,15.465646,15.225953,15.168793
8980-3703,226.48767603,42.2257281145,0.0167661,9.420515,17.051645,17.211298,15.993325,15.428806,15.013862,14.724275,14.737545
8440-9102,136.019260559,41.3564313527,0.0249182,9.422411,19.699034,19.551882,18.00403,16.701792,16.100302,15.675017,15.47331
8263-6101,186.700821072,45.8778088445,0.0244291,9.422657,18.012917,17.666534,16.868765,15.804358,15.393198,15.167178,15.080618
7964-1902,317.422612159,0.627769409147,0.0241526,9.422976,22.47532,21.532581,18.915195,17.216011,16.406286,15.994853,15.722436
7964-12701,314.60971,0.18089,0.0236192,9.423473,18.527468,18.179447,17.565712,16.322685,15.880011,15.536442,15.363642
8716-6102,119.75402668,52.6774518115,0.02364,9.424044,21.370031,20.144556,18.269344,16.81583,16.092844,15.729798,15.417529
8985-3702,204.08266178,32.8750953491,0.0237614,9.424102,22.727465,20.408825,17.931524,16.594156,15.952546,15.584027,15.297974
9183-12701,122.144875082,37.1749904279,0.0211728,9.42436,,21.418125,18.316648,16.784056,15.980585,15.600381,15.316192
8602-3704,247.204676262,39.1490170573,0.0298236,9.4255085,22.836317,21.536852,18.476439,17.402933,16.660599,16.287945,15.8799515
8550-6102,247.075392755,39.1864319901,0.0265494,9.426103,21.23818,20.303751,19.182001,16.96592,16.276522,15.8004675,15.695172
8085-12702,51.0944329463,0.113892685771,0.0216533,9.427672,18.740244,18.43211,17.157026,16.207445,15.683074,15.2955475,15.304658
8453-1902,153.21425096,46.9128221111,0.0241526,9.427679,19.523296,19.04462,17.89815,16.5913,15.970418,15.646894,15.400248
8440-3704,134.748487865,39.748861369,0.0240159,9.428035,20.756624,19.746407,18.099092,16.659536,15.991181,15.670605,15.4060335
8950-9101,193.444434851,27.3859420784,0.0276616,9.428286,21.286116,20.33913,18.379,17.04894,16.386301,15.998153,15.713038
9502-9102,129.030903791,25.1127272222,0.0232003,9.429012,17.654345,17.204784,16.449633,15.451395,15.036849,14.832053,14.605739
8933-6104,195.289317739,28.0331075167,0.0234291,9.429277,,21.77443,18.543215,16.832617,16.096441,15.735021,15.49082
8727-3703,54.7585641468,-6.81106170035,0.0231694,9.429464,19.617628,18.624285,17.29718,15.258178,15.066972,14.698952,14.46156
8439-6101,143.184618775,48.7963482386,0.0263866,9.430018,Infinity,Infinity,16.857868,15.805857,15.417445,15.155861,15.10958
8247-6102,136.825546505,41.3884614241,0.027079,9.432979,21.027905,21.04332,18.725285,17.05655,16.327372,15.932141,15.646142
7990-3702,262.10003999,57.002098826,0.0296945,9.434283,21.759,21.609854,19.438765,17.804382,16.846611,16.375595,15.916089
8456-12704,150.842878378,45.7635360671,0.0255084,9.434638,18.275599,18.271132,17.10552,15.987001,15.5348015,15.280487,15.074734
8465-1902,197.722880215,46.8191772262,0.029046,9.436044,21.134739,20.76273,18.75277,17.214499,16.493784,16.138739,15.951562
8931-1902,194.181347734,27.0347535248,0.0187168,9.436264,23.027977,20.742311,17.873913,16.318998,15.593038,15.2531805,15.018842
8078-12705,42.27915,-0.90221,0.0249439,9.436537,18.864283,18.44521,16.90811,16.067623,15.581718,15.292618,15.357632
9502-1901,128.628822358,25.7921543921,0.0288016,9.437349,20.577824,20.003033,18.729889,17.241089,16.509357,16.094797,15.838226
9488-3701,126.617107942,20.7219144456,0.0159513,9.438211,,21.42936,17.624708,16.171503,15.431958,15.033482,14.827783
8985-12701,203.730622609,31.3935143722,0.0165598,9.440648,16.137623,15.717877,15.305422,14.419124,14.141326,13.959656,13.81509
8982-1901,202.05702837,26.4565408846,0.024672,9.440707,18.755621,18.49497,17.525429,16.355707,15.819705,15.525671,15.314085
7815-1901,317.502202242,11.5106477077,0.0167652,9.4415865,,21.767815,18.436981,16.477816,15.570512,15.086898,14.743684
8486-6103,238.891298957,48.0223923799,0.0195194,9.441808,,Infinity,18.135094,16.409704,15.663634,15.230683,14.990961
9876-6102,195.880152661,28.0923261772,0.021117,9.444739,23.054953,21.171398,18.320135,16.535011,15.805636,15.4521675,15.191127
9508-3703,126.310386877,25.0161048395,0.0219646,9.44527,18.427544,17.578182,16.815565,15.787205,15.318959,15.055936,14.91812
9863-6103,195.022461664,28.0244372262,0.0196911,9.445663,21.565294,20.671923,18.143394,16.300364,15.610358,15.261774,15.01622
9876-1902,194.978613471,27.7959985141,0.0275063,9.44587,21.103945,20.153242,18.612225,17.016535,16.277243,15.931537,15.644046
8077-1901,41.3789555443,0.920638397764,0.0244672,9.44714,Infinity,21.859932,18.558157,16.969858,16.220274,15.857528,15.612143
7991-6103,257.833820012,56.9912523477,0.0311171,9.448609,20.31066,19.684217,18.286322,16.974827,16.375328,16.058855,15.762967
8446-1901,205.753337262,36.1656555546,0.0236603,9.448731,21.833422,20.028479,17.982622,16.456291,15.776437,15.457249,15.208089
8322-12701,198.24297,31.25866,0.0202607,9.449705,16.961044,16.490149,16.013262,15.059045,14.752275,14.46681,14.220329
8155-12704,53.1703361086,0.245738937436,0.0240173,9.450583,19.271107,18.830713,17.65108,16.44266,15.879026,15.564584,15.392822
8320-12703,206.630975904,23.1221362578,0.0302572,9.451539,18.121264,17.519182,17.082985,16.180191,15.818061,15.5956955,15.508882
8262-3701,183.578982171,43.5352793132,0.0241132,9.452038,18.732653,18.26387,17.160015,16.090746,15.609536,15.363209,15.225348
8623-6102,311.658778146,0.339357846417,0.0126345,9.453106,22.01847,19.923267,16.828953,15.360927,14.604072,14.215912,13.968147
8550-9101,247.409672103,40.2353879985,0.0283296,9.456649,20.583591,20.376587,18.835342,16.918571,16.230114,15.824985,15.52949
8462-1902,146.29654,36.53427,0.0231709,9.456873,19.990456,19.35566,17.394407,15.915549,15.326586,15.123016,15.01424
7991-3703,258.530261548,57.4774335349,0.0268484,9.457128,22.51381,20.751225,18.456188,16.896887,16.214548,15.885836,15.641185
9868-3702,218.947564333,47.0074672475,0.026881,9.457447,19.774153,19.126486,17.680273,16.399563,15.8636465,15.567458,15.343466
8989-12705,177.647168816,50.5793467796,0.0226327,9.459154,Infinity,Infinity,17.780365,16.371431,15.71362,15.269764,15.021946
9872-12703,231.99773,42.84963,0.0185896,9.459688,18.838694,20.405622,15.3301325,16.024097,15.424625,15.070099,14.674857
8341-12701,189.032061007,46.6432899922,0.0242146,9.46062,18.993294,18.346443,17.372776,16.146782,15.648312,15.3547,15.192799
8330-1902,205.231149643,38.8734098611,0.0200157,9.463987,18.568428,17.91328,17.060772,15.913716,15.357426,15.063495,14.85257
9501-12705,130.71962,25.07035,0.0172569,9.464524,17.02619,16.17154,16.349335,15.169181,14.708539,14.457284,14.07344
8601-3701,247.853912837,39.6929341563,0.0283699,9.466139,22.46598,,18.799664,17.269567,16.465958,16.083582,15.834751
8947-12702,171.718323494,50.5423825522,0.0233158,9.466373,18.675613,18.416649,17.471762,16.129107,15.582994,15.288719,15.142423
8612-12703,254.014681854,39.6455015077,0.0156578,9.466727,18.55855,18.01948,16.65932,15.413713,14.866478,14.557761,14.355144
8592-6104,224.33486,52.99342,0.0262898,9.467068,20.85457,20.396738,18.514389,17.090025,16.284586,15.820719,15.487864
8153-1901,41.0062256193,0.176297219814,0.0226083,9.467746,19.408512,18.916084,17.611917,16.365837,15.751207,15.435981,15.180639
8140-1901,116.729209533,41.4448947941,0.0286782,9.468351,24.268938,22.56469,19.038435,17.436337,16.60354,16.174747,15.891546
8081-3703,50.0738407878,0.523632230733,0.0241782,9.468415,19.334373,18.91211,17.686596,16.461285,15.864795,15.544238,15.291942
8255-1902,166.503964179,44.0699986636,0.024769,9.469505,21.0574,21.514002,18.380949,16.83792,16.095158,15.759753,15.490313
8549-12704,242.978644743,46.1277269855,0.019658,9.4727335,Infinity,Infinity,17.394606,16.07203,15.377096,14.991305,14.645788
8153-12703,41.0682926204,0.341599264633,0.0220552,9.4731,Infinity,21.236319,,17.033047,14.48974,15.721965,15.717469
8980-3701,223.636455717,42.3854436555,0.0184537,9.473187,23.167614,21.017456,17.95622,16.276127,15.523615,15.16815,14.899107
8147-12701,116.759566834,26.7764878281,0.0235924,9.473299,18.509577,18.3909,17.258942,16.138725,15.636819,15.325504,15.138814
8618-12701,317.979595193,11.3794496273,0.0177002,9.473892,18.437695,21.953733,17.780354,16.320787,15.559104,15.047832,15.034206
8982-12701,201.66218,27.03962,0.0232741,9.475097,19.01542,18.664072,17.68639,16.367163,15.7805805,15.414014,15.192807
8446-3703,205.584173927,36.9536345189,0.0214632,9.475218,17.951265,17.391476,16.545994,15.546069,15.114647,14.89129,14.726046
7991-12704,261.321053643,56.9518773841,0.0250049,9.475478,18.378555,17.900951,17.175123,15.995912,15.449387,15.298445,15.132482
9506-1901,133.82809257,27.3461660786,0.0172925,9.47582,18.254585,17.727499,16.73622,15.619589,15.064159,14.78338,14.565599
9031-1901,240.618266812,44.5414487067,0.0207064,9.478239,22.283682,20.84417,17.948399,16.35636,15.680674,15.315851,15.088167
8724-3703,131.491155153,55.1360515981,0.0255324,9.479891,24.540836,21.707727,18.623583,17.003117,16.227585,15.850421,15.58361
9863-1902,195.306783861,27.9142685573,0.0195139,9.483919,23.211578,20.803732,17.805107,16.272669,15.545395,15.187203,14.974802
8949-12701,193.603092309,27.363986169,0.0260801,9.485379,21.826433,20.231585,18.050402,16.716555,16.013529,15.671039,15.451118
9088-1901,242.855211093,27.2935458581,0.0259349,9.486818,19.174574,19.088215,17.89275,16.632402,16.020002,15.676168,15.375973
8322-6103,199.338732164,31.0593789008,0.01857,9.487796,17.37554,17.075733,16.421293,15.349445,14.946861,14.663522,14.530346
8329-12704,213.783652001,45.5948493729,0.0159429,9.488163,16.4386,16.013605,15.508244,14.65686,14.33003,14.109486,14.041894
9505-1902,139.777330867,27.9146096009,0.0284499,9.490985,23.883812,21.39775,18.460867,16.962328,16.2375,15.908201,15.656231
8462-9102,144.732148921,35.695160225,0.0200675,9.491251,19.296309,18.543623,17.113453,15.889689,15.305373,14.992157,14.81509
8325-3703,212.529428799,46.4395604501,0.0262901,9.491892,18.619799,17.841341,17.050474,15.870153,15.391202,15.102921,14.804057
8719-1901,121.176140473,46.7334239537,0.0226172,9.492262,21.986935,20.739376,18.485762,16.78115,15.982398,15.594043,15.296993
8655-3704,357.54330799,-1.01686396913,0.0226556,9.492284,19.143011,18.657951,17.442404,16.25226,15.672802,15.37029,15.16128
8611-12701,262.257375976,60.089399624,0.0205096,9.4922905,17.536938,17.15827,16.40058,15.375026,14.975778,14.731627,14.641729
8338-12701,172.051190682,21.9968427778,0.0210523,9.494882,16.592663,15.952005,15.482826,14.532652,14.223161,14.068346,13.902189
9037-3702,234.842527103,43.8654620871,0.0187803,9.496084,22.549883,20.346659,17.771875,16.226791,15.511797,15.124895,14.878323
8931-3702,194.060945053,27.5063295051,0.0247842,9.496343,22.841288,21.347433,18.499775,16.794458,16.046707,15.665112,15.406838
9487-6104,124.120619234,45.6377455069,0.0226222,9.497626,19.071905,18.701424,17.327097,16.1088,15.54387,15.238844,14.988069
8987-12702,136.138199276,28.3498623083,0.0263218,9.498582,18.314474,17.996435,16.90067,15.860788,15.450793,15.176517,15.017929
8618-9101,318.086563754,11.2202360427,0.0175331,9.4991,21.642109,23.206165,17.699818,16.184261,15.391,14.983696,14.673032
7962-12701,258.659422124,28.1207629753,0.022654,9.501239,18.937523,18.19008,16.704304,15.788412,15.326683,15.042478,14.802363
8982-9101,201.713650095,26.5912389132,0.0234728,9.50147,17.957514,17.160532,16.215265,15.409592,14.9751835,14.7718525,14.563273
8716-9102,123.039644476,52.4552293371,0.0187379,9.501522,17.68405,17.521727,16.662485,15.540059,15.057389,14.768471,14.587386
8259-1902,177.796116041,44.0087651583,0.0242111,9.502175,20.06954,19.674438,18.087452,16.711786,15.985537,15.601402,15.342429
8932-3704,195.523004167,27.297280745,0.0242797,9.502433,21.785635,21.53299,18.408897,16.764458,16.031214,15.658909,15.389427
8595-12703,220.716792448,52.2809912468,0.0250374,9.505107,17.95595,17.789957,17.052946,15.8857,15.461481,15.192818,14.997679
7957-6104,258.22041548,35.0931572767,0.0254919,9.5065155,17.91759,17.42341,16.442644,15.4316025,15.067025,14.840007,14.668447
9510-9101,126.784081042,27.8104519653,0.0202794,9.507507,Infinity,Infinity,17.264172,15.961063,15.30199,14.973074,14.7059765
8983-6103,204.62363137,26.0775874748,0.0293705,9.508744,21.1132,20.619783,18.369204,17.040083,16.347286,15.990405,15.639586
7443-1902,231.99110413,42.9712078378,0.0189259,9.509328,23.681654,20.026657,17.316097,15.877279,15.2750845,14.963646,14.753382
9872-3703,231.991117235,42.9712018534,0.0189259,9.509328,23.681654,20.026657,17.316097,15.877279,15.2750845,14.963646,14.753382
9088-9101,241.256482028,26.1208811998,0.0263001,9.509403,19.586504,19.412348,17.767336,16.417965,15.822756,15.415264,15.125781
8140-3703,116.576156629,41.7016516582,0.0281463,9.51074,25.919718,22.636173,18.568684,17.205149,16.435965,16.056908,15.774501
8724-1902,132.285018858,53.7801465944,0.0245308,9.510873,18.826418,18.388699,17.323133,16.165483,15.646132,15.342485,15.172067
9497-3702,117.206602146,21.7326115252,0.0238767,9.511014,,20.797634,18.362904,16.847094,16.045994,15.641926,15.335708
8597-12705,225.971442494,48.5761094845,0.0248138,9.511269,Infinity,Infinity,17.081957,15.989627,15.48913,15.181168,15.006836
8719-6101,121.357167867,46.287410625,0.0288994,9.511651,21.494535,20.126867,18.95713,17.400068,16.557095,16.091328,15.703181
7964-12705,315.165156968,-0.210295711163,0.0240206,9.5128975,21.616835,20.700542,18.269815,16.760956,16.038565,15.660779,15.322502
8999-12705,164.986201771,50.1237569448,0.023391,9.513567,22.218721,20.687475,17.98127,16.4252,15.757213,15.387452,15.200329
8719-12702,120.199284144,46.6905269704,0.0193814,9.51512,17.720959,17.435823,16.252836,15.293622,14.841685,14.607757,14.3997135
8449-12704,168.378001543,23.304901593,0.0207039,9.515285,Infinity,Infinity,16.113972,15.130476,14.72672,14.447384,14.236875
9509-1901,122.38422516,26.2834157119,0.0254242,9.517705,18.772888,18.118183,17.07417,15.889214,15.376454,15.115155,14.87318
8244-12705,134.284434379,51.4715460589,0.0156688,9.517854,19.361294,19.757925,17.392086,15.939728,15.168219,14.721524,14.351248
8145-3703,117.325283228,28.4734871353,0.0160898,9.518489,20.23366,18.662712,17.75259,16.01877,15.321117,14.7251425,14.551932
8449-12702,168.375102601,23.1770062118,0.0207018,9.519754,17.609129,17.166672,16.176302,15.266013,14.814715,14.556188,14.316253
8256-3702,164.4709881,40.8621504512,0.0251058,9.520335,21.944906,20.190525,18.544203,16.81872,16.048937,15.667983,15.39286
8274-3702,164.4709881,40.8621504512,0.0251058,9.520335,21.944906,20.190525,18.544203,16.81872,16.048937,15.667983,15.39286
8458-3702,147.5625,45.95731,0.0248702,9.520663,Infinity,Infinity,15.687519,14.997527,14.7193,14.619684,14.479313
8456-3704,150.228405882,44.7647927636,0.0278621,9.520804,20.443722,20.334377,18.48209,16.842224,16.140442,15.802382,15.564147
8624-9101,262.535229254,59.5318374857,0.0220487,9.521523,18.066097,17.623857,16.652708,15.556901,15.090091,14.8093,14.553521
8932-3701,194.65534007,27.1765554975,0.0255681,9.521781,17.146666,16.8747,16.21329,15.33637,15.007405,14.814148,14.645882
9029-3701,246.900048575,41.1637663766,0.0300883,9.522531,25.356222,22.389366,18.858421,17.237442,16.478659,16.118889,15.83129
9024-1902,224.437789488,33.1656344458,0.0300243,9.52531,17.539024,17.12022,16.4013,15.647515,15.352051,15.157095,15.049575
8946-9101,170.606919594,47.1059671224,0.025013,9.525581,18.126677,17.695545,16.697481,15.676817,15.253658,15.0081005,14.808845
8252-6101,144.617048762,48.5255082955,0.0248735,9.526976,19.893177,19.502869,17.730902,16.396933,15.781055,15.427308,15.1685705
8443-9102,207.142413876,24.8915949163,0.0297159,9.527381,20.506939,19.69905,18.318344,16.936287,16.251986,15.831986,15.560299
8333-12705,214.2841704,42.682763718,0.0259548,9.528605,17.715332,17.386164,16.63681,15.466301,15.001697,14.831783,14.33657
8568-12702,155.899411027,37.6377529641,0.0213062,9.52932,16.663544,16.273485,15.857141,14.914041,14.604064,14.426339,14.323018
8566-3702,113.365500667,41.8858374185,0.0196408,9.529393,22.33924,20.916862,17.961916,16.325478,15.548513,15.17483,14.908388
9865-6103,225.007924481,49.7468095964,0.0260257,9.529687,22.139015,20.960732,18.203619,16.715216,15.992147,15.653784,15.460397
8080-6101,47.787486215,0.235180942215,0.026421,9.531855,18.347874,17.91348,16.924862,15.852161,15.392405,15.114633,14.884416
9869-6102,247.869050815,39.942797711,0.0310202,9.532019,21.213388,20.402637,17.95003,17.0118,16.409983,16.037266,15.730653
8453-3703,153.752608461,46.7567528969,0.0246439,9.532173,21.34313,20.726128,17.990044,16.65388,15.924255,15.571112,15.362534
8149-1901,120.221692517,28.1303943794,0.0170628,9.532361,19.33139,19.051622,17.439678,15.941872,15.237469,14.877469,14.630238
9194-12702,46.37337,-0.38194,0.0247715,9.533373,17.750948,17.500254,16.722004,15.68961,15.321029,14.994023,14.821888
9865-12702,223.964741911,49.647511889,0.0261319,9.534544,17.795578,17.360552,16.738995,15.637458,15.239192,14.961024,14.797009
9488-1901,126.409847941,21.1425594142,0.0230516,9.534813,22.65994,21.218689,18.47732,16.75096,15.915501,15.480282,15.186012
8085-6104,51.7089138095,0.1985888336,0.020425,9.537717,19.756067,19.115873,17.607126,16.06215,15.40463,15.042758,14.832444
8458-3704,147.855076094,44.9236649059,0.0152229,9.540913,16.895575,16.685415,15.843084,15.39569,14.653186,14.448684,14.371653
8149-1902,119.923886435,27.0035013286,0.0220793,9.542171,24.168112,21.431597,18.076145,16.46649,15.739178,15.351326,15.126927
9000-1901,171.400653635,54.3825744827,0.0206863,9.542566,17.976421,16.839468,17.134338,15.81223,15.084998,14.782108,14.460166
8982-1902,201.920656754,26.0616332527,0.0240628,9.544097,18.792673,18.43876,17.392223,16.145004,15.560806,15.249525,14.999848
8250-6102,138.902616221,42.1572231444,0.0247248,9.545391,18.913315,18.47135,17.18313,16.13293,15.58681,15.308267,15.050448
8081-1901,47.9148954163,0.781728582267,0.0270447,9.545865,20.151993,19.510714,17.9889,16.65895,16.010954,15.664929,15.396392
8993-1902,166.689224683,45.9072542601,0.0246718,9.546638,22.945662,21.656776,18.325857,16.700834,15.955874,15.58386,15.312774
9512-1902,139.641419591,1.34374859847,0.0272106,9.546859,19.166618,18.656813,17.76273,16.443407,15.856237,15.491847,15.302684
9505-12704,139.078120222,28.8890738652,0.0219701,9.5471945,18.300821,17.851946,16.784977,15.735114,15.230147,14.937012,14.778845
8461-1902,144.809095432,42.7299212922,0.0271468,9.547696,22.645113,21.158613,18.264936,16.804964,16.08634,15.742735,15.473379
8144-12701,114.83597,27.36062,0.0267264,9.5477,18.288702,18.432625,17.074919,16.079231,15.562803,15.32625,14.96181
8253-1902,157.845819413,42.2771798525,0.0223874,9.548997,22.453707,21.107862,18.018124,16.419317,15.673543,15.321332,15.065359
8486-6104,239.195689664,47.9955208307,0.0174718,9.550671,Infinity,20.755508,17.553738,15.942834,15.196476,14.824397,14.602677
7990-6101,261.039484654,56.8744593789,0.0271715,9.550761,20.069588,19.197895,18.581802,16.957983,16.209694,15.827259,15.58919
8145-6103,116.503038355,28.6996336807,0.0236372,9.550812,Infinity,Infinity,16.834269,15.736656,15.22971,14.926581,14.706449
8263-3704,186.55621312,45.5387113115,0.0241444,9.552714,20.747324,20.294884,17.997175,16.492254,15.790094,15.423838,15.24778
8937-3702,117.152294105,28.8998806894,0.0269635,9.553162,21.579735,21.56474,18.494131,16.961897,16.163181,15.778163,15.497991
9183-1902,121.084622616,37.8403587552,0.0280217,9.553241,23.086178,22.109734,18.809664,17.137009,16.326645,15.92721,15.629671
8459-12703,148.84161359,44.4405591163,0.0264594,9.553639,18.788603,18.336813,17.37744,16.023802,15.483511,15.212472,14.954716
9508-1901,126.081201703,25.6744725593,0.0281605,9.554418,17.76483,17.351679,16.755424,15.815631,15.407392,15.16824,14.976298
8567-12703,118.328694856,50.1855392772,0.0182694,9.55519,18.364773,18.149328,16.760979,15.637616,15.06735,14.704826,14.524073
8318-12704,197.114483081,46.5696014209,0.0245562,9.557124,18.491663,18.383236,17.297136,16.07863,15.539056,15.246325,15.067025
8462-1901,145.814039863,36.2314430016,0.023425,9.558903,21.365788,,18.167173,16.493853,15.736378,15.397398,15.158301
8934-6102,196.046877685,27.490442753,0.0177702,9.561013,20.88761,19.56085,17.484262,15.866081,15.146979,14.776279,14.536513
7968-3704,322.607871606,-0.474520756087,0.019894,9.561042,19.840343,19.100132,17.544188,16.17222,15.412244,15.016991,14.679067
8941-6102,122.115480415,26.3725704363,0.0272935,9.561342,20.528282,20.22741,18.341152,16.905695,16.171814,15.776654,15.435775
8077-6102,40.5568647331,0.3829490791,0.0220271,9.562135,20.108105,19.345718,17.60665,16.328264,15.611374,15.143571,15.02943
9037-1902,235.902435934,43.9803342749,0.019805,9.562879,21.527262,20.201685,17.62843,16.083797,15.373971,15.01722,14.789838
9027-1902,246.175999716,32.0643726324,0.0215815,9.563125,20.653088,20.271101,17.685549,16.237606,15.517548,15.166409,14.942198
8139-12702,113.500571523,32.2157646935,0.0269168,9.5634,Infinity,Infinity,16.585972,15.709946,15.349284,15.055844,14.6796
8714-1901,120.138546295,47.3708675377,0.022399,9.563566,21.184618,20.503086,18.214682,16.577354,15.815271,15.349717,15.205722
8949-9102,196.285279184,27.5128123401,0.023878,9.563575,26.482883,20.7277,17.741468,16.384558,15.685747,15.364958,15.127067
8156-12705,55.5520135321,-0.354380936843,0.0253377,9.56373,18.409609,17.900097,16.961264,15.80653,15.336196,15.046671,14.848577
9881-1901,204.806912689,24.8930759381,0.0282062,9.564075,20.934933,20.049665,18.186537,16.7333,16.041927,15.695888,15.453373
8320-3702,205.289299982,23.2779276984,0.0273373,9.56836,20.318216,19.159706,17.84809,16.37337,15.736662,15.405129,15.145673
8138-3704,118.020494772,44.1614622644,0.0262834,9.5692625,20.846844,19.924007,18.232086,16.797161,16.031725,15.623675,15.30525
8312-3703,247.432124303,40.0165041511,0.0276238,9.570679,23.214067,21.368626,18.465115,16.919163,16.161552,15.782713,15.505372
8615-3703,320.82641,1.25498,0.0182092,9.572156,19.65313,18.834778,17.104275,15.888815,15.102723,14.716913,14.381141
7972-6102,316.728514291,10.8067838685,0.0299975,9.572702,21.114683,20.935999,17.957836,17.3648,16.622873,16.025871,15.76304
8711-6104,119.237414816,52.6669249912,0.0186043,9.572923,,20.88835,17.779844,16.128225,15.363737,14.967759,14.719787
8950-1901,194.819512903,27.1061297863,0.0279533,9.573535,19.87649,19.433153,18.103243,16.789652,16.060303,15.658574,15.325895
8341-3702,189.958285005,45.9335624945,0.024225,9.574374,19.448618,18.925587,17.444702,16.277689,15.658396,15.320272,15.055951
8252-3703,144.352308981,48.5154530802,0.0243491,9.574747,17.673279,17.431503,16.682829,15.442278,15.0194025,14.799426,14.655389
8933-6101,194.631687738,27.6734912925,0.0230696,9.574969,22.941422,21.176819,18.131243,16.47297,15.7076845,15.330812,15.055557
8249-1901,137.219338724,44.9322670576,0.0265684,9.575649,19.728918,19.532171,17.937935,16.660522,15.937072,15.537427,15.236567
8135-12705,115.443139987,37.6155355534,0.0265046,9.576955,20.271824,19.719309,18.023088,16.782635,16.050615,15.644954,15.369785
8239-3701,115.93947,48.137067,0.0180767,9.5775795,19.326422,19.435099,17.422642,16.02146,15.260418,14.896143,14.659674
8319-3704,199.239947241,47.8683354111,0.0268201,9.578013,19.21635,19.00907,17.794962,16.492573,15.897882,15.51759,15.377841
8330-3704,204.543877891,38.6656120342,0.0201337,9.5804405,Infinity,Infinity,17.298208,15.9134035,15.204582,14.832732,14.542195
8249-3703,139.720468628,45.7277823533,0.026438,9.581081,20.495594,19.57911,17.848837,16.538847,15.838849,15.495013,15.34161
8950-3702,193.998990374,27.9550802549,0.0270081,9.581848,22.435394,20.718908,17.872318,16.520308,15.863375,15.539414,15.344552
9045-1901,226.464753943,32.0099797304,0.0305246,9.582655,20.805025,20.367952,18.437542,16.908958,16.200148,15.870429,15.59538
9863-12704,195.068827577,27.9675169402,0.0154703,9.58286,21.59821,20.074364,17.34583,15.622353,14.893591,14.53287,14.291589
9509-6104,123.87203821,26.1509812019,0.0210896,9.584637,17.7522,17.293808,16.384779,15.287395,14.829331,14.576946,14.374878
8144-9101,114.610230102,28.9630777324,0.0157875,9.584797,19.89801,18.994394,17.281105,15.787512,15.043962,14.604305,14.333221
8625-3703,259.376307236,57.0681032516,0.0279906,9.586191,23.437607,21.266739,18.671886,16.949299,16.160278,15.75687,15.449453
8935-6102,194.191120031,28.0516146988,0.0230821,9.587574,20.727247,20.904888,17.252638,16.445124,15.723429,15.341722,15.047339
8483-3704,247.391795685,47.7029868772,0.0328625,9.587842,20.771852,20.126081,18.527636,17.011538,16.334808,15.953296,15.692724
8258-1902,167.9737077,43.5666663336,0.0248235,9.588185,19.824389,18.975176,17.747175,16.31535,15.647458,15.304297,15.041113
8249-3702,137.03265263,45.9209619515,0.0267975,9.58819,20.732183,20.030245,18.026981,16.656736,15.953439,15.579974,15.331601
8655-12702,356.270288778,-0.270886747269,0.0229224,9.589225,18.398846,18.008566,16.867031,15.726235,15.1922245,14.910826,14.607613
8439-1902,143.697034579,48.7475756651,0.0259393,9.589396,21.03918,20.5977,18.400896,16.730083,15.963893,15.5891075,15.341526
9502-3703,128.247008558,25.9909434811,0.017575,9.591361,Infinity,Infinity,17.97795,16.092257,15.26119,14.788988,14.472599
9863-12703,195.036393927,28.1598629479,0.0248898,9.592641,22.139763,Infinity,18.28412,16.455143,15.713893,15.33741,15.031363
8949-3704,195.275797616,27.3978146556,0.0270644,9.593048,22.82838,20.97156,18.051113,16.598743,15.901286,15.56294,15.329865
8341-9102,191.012464449,45.1292659168,0.0244724,9.593153,18.795412,18.173243,17.179253,16.000372,15.453888,15.13187,14.901435
7991-6102,261.08183,56.87628,0.0275173,9.593453,21.009901,20.039682,18.765066,17.000221,16.198034,15.778699,15.537375
8442-6102,199.211157439,31.6306673433,0.0302573,9.593723,17.487993,17.148157,16.500244,15.585004,15.225156,15.021454,14.831086
8448-12704,166.739672453,22.8357972157,0.0226077,9.594653,Infinity,Infinity,17.398098,15.999828,15.318581,14.93691,14.636581
8985-1902,205.389007258,32.4326269649,0.0166465,9.595626,21.053722,19.835379,17.30798,15.712316,14.996758,14.607939,14.344888
8313-3703,241.846680273,41.7089702164,0.0180762,9.59653,18.435543,18.083965,16.892548,15.56751,14.984809,14.656647,14.473649
8999-9101,163.723813899,48.9445453077,0.0216862,9.596645,21.727747,20.953915,17.770355,16.26938,15.537232,15.167036,14.882865
8086-12702,55.5539816255,-0.354246007093,0.0257224,9.5991335,19.061737,18.531946,17.038044,15.8472395,15.364867,15.036937,14.90208
8155-3703,54.095960737,-0.882664935104,0.0235779,9.600789,20.003706,19.35791,17.816105,16.512222,15.747276,15.37872,15.092283
8252-1901,145.773946457,48.4196808307,0.0253779,9.60474,Infinity,Infinity,18.430418,16.525084,15.779001,15.400017,15.13094
8448-12702,166.01663,22.6354,0.0267404,9.6084585,18.045275,17.597134,16.666695,15.6148615,15.199763,14.947337,14.804166
8719-3704,121.407989784,46.7074015972,0.0230931,9.610197,21.250332,21.312815,18.302729,16.54105,15.746443,15.341254,15.068421
9506-1902,133.575121613,26.5061185067,0.0271732,9.612486,20.916407,20.902946,18.3456,16.72578,15.993415,15.612975,15.367806
8259-6101,179.44492912,42.9899484925,0.0309002,9.613535,17.775902,17.261284,16.586964,15.683549,15.365047,15.104634,15.054397
